id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,luas_tanah,luas_bangunan
hos18850837,Rumah Cantik Buah Batu Regency 2lt,"Rp 3,49 Miliar","Buah Batu, Bandung",4,3,2,: 258 m²,: 264 m²
hos19021915,Beruntung Rumah Luas Di Lokasi Strategis Turangga Buahbatu Dijual Murah Di Bawah Harga Pasar,"Rp 3,9 Miliar","Turangga, Bandung",4,3,1,: 265 m²,: 350 m²
hos16650794,Rumah Luas di Turangga kota Bandung,"Rp 2,5 Miliar","Turangga, Bandung",4,3,2,: 120 m²,: 180 m²
hos18987436,Rumah Modern Kekinian Di Turangga Sayap Batununggal Buahbatu Dijual,"Rp 2,5 Miliar","Turangga, Bandung",4,3,1,: 108 m²,: 130 m²
hos17765470,Jual Rumah MEWAH di sayap Turangga dan sayap Buah batu Bandung,"Rp 3,75 Miliar","Turangga, Bandung",4,3,2,: 175 m²,: 200 m²
hos17665915,DI BAWAH HARGA PASAR.. Rumah Luas di TURANGGA Buahbatu Bandung on progress dijual,"Rp 2,1 Miliar","Turangga, Bandung",4,4,2,: 115 m²,: 170 m²
hos18227854,Murah Dan Strategis Rumah Bagus Di Cigadung Dago Bandung Kota,"Rp 2,8 Miliar","Dago, Bandung",3,3,1,: 200 m²,: 170 m²
hos18817276,Dijual Rumah Full Renovasi di Koper Kopo Permai Bandung,"Rp 1,19 Miliar","Kopo Permai, Bandung",3,2,1,: 112 m²,: 120 m²
hos18936960,Jual Cepat Rumah Siap Huni 2 Lantai Full Renovasi di Antapani Bandung,"Rp 1,5 Miliar","Antapani, Bandung",3,2,2,: 133 m²,: 120 m²
hos18750825,Rumah Di Kiara Sari Buah Batu Kota Bandung Lokasi Strategis Aman,"Rp 1,4 Miliar","Bandung Kota, Bandung",3,3,1,: 135 m²,: 140 m²
hos18147551,Rumah Modern Lingkungan Nyaman Strategis Shm Di Dago Pakar,"Rp 5,5 Miliar","Dago Pakar, Bandung",5,5,2,: 330 m²,: 265 m²
hos18150705,Rumah Elite Shm View Gunung Strategis Dekat Wisata,"Rp 2,75 Miliar","Dago Pakar, Bandung",2,2,2,: 275 m²,: 200 m²
hos18150693,Rumah Nyaman Strategis Dekat Wisata Di Dago,Rp 2 Miliar,"Dago, Bandung",3,3,2,: 200 m²,: 140 m²
hos18452999,Rumah Modern Shm Di Buahbatu 7 Km Ke Telkom University,Rp 513 Juta,"Buah Batu, Bandung",2,1,1,: 61 m²,: 40 m²
hos18543609,"Rumah Bagus 1,5 Lantai Siap Huni Di Cluster Batununggal Bandung","Rp 1,6 Miliar","Batununggal, Bandung",3,2,2,: 126 m²,: 100 m²
hos18293057,Investasi Terbaik Staycation House Modern Kawasan Dago Bandung,"Rp 2,76 Miliar","Cigadung, Bandung",3,3,2,: 95 m²,: 130 m²
hos19016496,Jual Rumah Usaha Lokasi Super Strategis Sayap Dago Bandung Utara,Rp 17 Miliar,"Dago, Bandung",1,4,10,: 282 m²,: 282 m²
hos17975923,Rumah 2 Lantai Siap Huni Di Ciwaruga Gegerkalong Bandung Utara,"Rp 1,4 Miliar","Geger Kalong, Bandung",3,2,1,: 200 m²,: 150 m²
hos17844197,Rumah Terawat Siap Huni Komplek Kalijati Antapani,"Rp 1,3 Miliar","Antapani, Bandung",3,1,1,: 138 m²,: 100 m²
hos19030029,Rumah Siap Huni di Puri Dago Antapani Bandung,"Rp 1,17 Miliar","Antapani, Bandung",2,2,1,: 106 m²,: 80 m²
hos17275389,Rumah 2 Lantai Siap Huni di Antapani Bandung,"Rp 2,6 Miliar","Antapani, Bandung",5,5,2,: 308 m²,: 100 m²
hos18648238,Rumah Bagus Siap Huni di Tanjung Sari Antapani Kota Bandung,"Rp 1,2 Miliar","Antapani, Bandung",3,2,1,: 135 m²,: 90 m²
hos17442106,Rumah Murah Terawat Siap Huni Harga Menarik Antapani,Rp 900 Juta,"Antapani, Bandung",4,3,2,: 140 m²,: 100 m²
hos18139662,"Rumah siap huni di tanjung sari Antapani, Bandung","Rp 1,2 Miliar","Antapani, Bandung",2,1,1,: 135 m²,: 100 m²
hos18168152,Rumah Turangga Lokasi Strategis Dekat Griya Buah Batu,"Rp 2,6 Miliar","Turangga, Bandung",3,2,1,: 220 m²,: 190 m²
hos18908944,Jarang Ada Rumah di Bawah 2 M Siap Huni di Turangga Kota Bandung,"Rp 1,6 Miliar","Turangga, Bandung",3,3,1,: 135 m²,: 120 m²
hos18411183,Rumah Baru Termurah Dikelasnya Turangga,"Rp 2,1 Miliar","Turangga, Bandung",4,2,null,: 115 m²,: 170 m²
hos18217710,Jarang Ada Harga Pasar Lokasi Terbaik di Turangga Bandung,"Rp 2,8 Miliar","Turangga, Bandung",7,3,1,: 282 m²,: 200 m²
hos18846763,Rumah Bagus Townhouse Turangga Kota Bandung,"Rp 2,6 Miliar","Turangga, Bandung",3,2,2,: 108 m²,: 160 m²
hos18604942,Rumah Siap Huni di Batununggal Kota Bandung,"Rp 1,75 Miliar","Batununggal, Bandung",3,2,null,: 126 m²,: 200 m²
hos18560765,Rumah Bagus Siap Huni Di Cluster Batununggal Bandung,"Rp 1,6 Miliar","Batununggal, Bandung",3,2,1,: 126 m²,: 100 m²
hos18550917,Rumah Hook Siap Huni di Batununggal Indah,"Rp 4,8 Miliar","Batununggal, Bandung",4,3,2,: 374 m²,: 220 m²
hos18326215,Rumah Bagus Siap Huni Lokasi Terbaik Batununggal Indah,"Rp 2,85 Miliar","Batununggal, Bandung",3,2,1,: 162 m²,: 110 m²
hos18411265,Rumah Bagus Terawat Siap Huni di Batununggal Indah,"Rp 4,8 Miliar","Batununggal, Bandung",5,3,1,: 260 m²,: 305 m²
hos17247231,Jarang Ada Rumah Siap Huni di Bawah 2M Dalam Cluster Batununggal,"Rp 1,8 Miliar","Batununggal, Bandung",3,2,null,: 126 m²,: 108 m²
hos18771479,Rumah Mainroad Sayap Bkr Cocok Untuk Segala Usaha,"Rp 6,2 Miliar","BKR, Bandung",6,5,6,: 519 m²,: 320 m²
hos17777528,Rumah Keren Nyaman Terawat di Batununggal Mulia,"Rp 1,55 Miliar","Batununggal, Bandung",4,2,1,: 200 m²,: 160 m²
hos18765468,Dijual Rumah Asri Bougenville Antapani Siap Huni Kota Bandung,"Rp 4,85 Miliar","Antapani, Bandung",5,5,2,: 504 m²,: 220 m²
hos18931876,Rumah Asri Prv Gegerkalong Bandung,"Rp 3,8 Miliar","Geger Kalong, Bandung",3,3,1,: 347 m²,: 200 m²
hos17329885,Dijual Rumah Bagus & Terawat Di Cluster Mulia Batununggal Mulia,Rp 2 Miliar,"Batununggal, Bandung",3,1,2,: 126 m²,: 190 m²
hos15434626,Dijual cepat  dan harga murah rumah terawat di batununggal jelita bandung,"Rp 3,15 Miliar","Bandung Kidul, Bandung",4,3,1,: 180 m²,: 250 m²
hos18831343,Jual Cepat Murah Rumah Luas Thi Taman Holis Indah,"Rp 1,6 Miliar","Bandung Kulon, Bandung",3,2,1,: 216 m²,: 225 m²
hos16058059,Dijual Murah Rumah Lama Terawat Cijawura Buah Batu,"Rp 2,25 Miliar","Buah Batu, Bandung",4,3,1,: 500 m²,: 220 m²
hos17378064,Rumah Setiabudi Regency Hadap Barat,"Rp 2,9 Miliar","Setiabudi, Bandung",5,4,1,: 255 m²,: 330 m²
hos15734184,Rumah Hitung Tanah Bonus Bangunan di Sudirman Dekat Jalan Raya,Rp 4 Miliar,"Bandung Kota, Bandung",3,1,3,: 536 m²,: 300 m²
hos18239646,"Rumah 2 Lantai Baru Unfurnished SHM di Situ Sari Bandung, Bandung","Rp 2,9 Miliar","Lengkong, Bandung",4,3,1,: 112 m²,: 170 m²
hos17977710,Rumah Murah Strategis Sudah Renov di Sayap Pasteur Bandung Kota,Rp 2 Miliar,"Pasteur, Bandung",4,2,null,: 158 m²,: 250 m²
hos17570775,Rumah Minimalis 2 Lantai Strategis di Sayap Pasteur Bandung,"Rp 2,7 Miliar","Pasteur, Bandung",3,2,2,: 120 m²,: 136 m²
hos17783609,Rumah Murah Strategis di Sayap Pajajaran Bandung Kota,"Rp 1,4 Miliar","Pajajaran, Bandung",2,1,null,: 127 m²,: 127 m²
hos15087472,Jual Rumah Sayap Riau Bandung Harga Menarik,"Rp 14,9 Miliar","Riau, Bandung",6,4,2,: 638 m²,: 568 m²
hos18077232,Rumah Murah Hitung Tanah Di Sayap Ramdan Bkr Bandung,"Rp 3,5 Miliar","BKR, Bandung",8,5,7,: 392 m²,: 300 m²
hos18753896,Rumah 2 Lantai Sudah Renovasi di Komplek Kopo Mas,"Rp 2,3 Miliar","Kopo, Bandung",5,4,2,: 157 m²,: 258 m²
hos16834187,Rumah Baru Murah di Kopo Permai 2 Lantai SHM,"Rp 1,27 Miliar","Kopo Permai, Bandung",3,2,1,: 95 m²,: 150 m²
hos16568014,Rmh Pusat Kota area Jl.Cibadak,Rp 900 Juta,"Astanaanyar, Bandung",3,1,null,: 65 m²,: 60 m²
hos16433513,Dijual cepat rumah pasirpogor ciwastra nego sampai deal,Rp 900 Juta,"Ciwastra, Bandung",3,2,null,: 142 m²,: 160 m²
hos17448475,Rumah Jual Murah Cikutra Tengah Kota Bandung SHM,Rp 695 Juta,"Cikutra, Bandung",3,2,1,: 135 m²,: 107 m²
hos10944730,RUMAH TINGGAL DI SAYAP BUAH BATU,"Rp 4,9 Miliar","Buah Batu, Bandung",10,7,null,: 387 m²,: 600 m²
hos18615911,Promo Hunian Luxury Diskon 50jt,Rp 250 Juta,"Buah Batu, Bandung",2,1,1,: 60 m²,: 40 m²
hos14298441,Dijual rumah baru minimalis di Mekar Wangi Bandung,"Rp 2,65 Miliar","Mekar Wangi, Bandung",4,3,null,: 125 m²,: 155 m²
hos18989851,"Rumah Bagus SHM di Dewi Sartika, Regol Bandung","Rp 1,85 Miliar","Regol, Bandung",3,2,2,: 157 m²,: 140 m²
hos18802004,"Rumah 2 Lantai Bagus SHM di Cisaranten, Bandung",Rp 990 Juta,"Arcamanik, Bandung",2,2,1,: 92 m²,: 115 m²
hos18778720,"Rumah 2 Lantai Bagus SHM di Margahayu Raya, Bandung",Rp 1 Miliar,"Soekarno Hatta, Bandung",4,2,1,: 133 m²,: 154 m²
hos18778689,"Rumah Bagus SHM di Sayap Pajajaran, Bandung","Rp 1,6 Miliar","Pajajaran, Bandung",2,1,null,: 127 m²,: 100 m²
hos18751503,"Rumah 2 Lantai Bagus SHM di Griya Cikutra, Bandung",Rp 800 Juta,"Cikutra, Bandung",2,2,1,: 55 m²,: 60 m²
hos14904773,Turun Harga Rumah 2 Lantai Mainroad Strategis di Kopo Permai Bandung,Rp 2 Miliar,"Kopo Permai, Bandung",6,5,1,: 203 m²,: 211 m²
hos16224420,Rumah Cantik Hoek Udara Sejuk di Dago Pandawa 2,"Rp 3,9 Miliar","Dago, Bandung",5,6,4,: 236 m²,: 400 m²
hos17310564,Rumah mewah minimalis modern di Setra sari kulon,"Rp 8,5 Miliar","Setra Sari, Bandung",4,4,2,: 367 m²,: 450 m²
hos17336883,Rumah Baru Minimalis Harga Ekonomis tempat Strategis,Rp 650 Juta,"Ciwastra, Bandung",2,1,null,: 72 m²,: 50 m²
hos17759436,Rumah satu lantai bagus terawat di kota Bandung,Rp 10 Miliar,"Bandung Wetan, Bandung",5,4,2,: 555 m²,: 350 m²
hos17762535,"Cepat Rumah Bagus Sayap Supratman, Terusan Cisokan","Rp 2,3 Miliar","Supratman, Bandung",4,2,2,: 253 m²,: 182 m²
hos16994820,Rumah Elite Hegarmanah,"Rp 9,9 Miliar","Cidadap, Bandung",10,6,null,: 612 m²,: 420 m²
hos18307044,Rumah Bagus @ Singgasan Pradana Bandung,Rp 12 Miliar,"Bojongloa, Bandung",4,5,3,: 400 m²,: 600 m²
hos17058348,Rumah 2 Lantai di Sayap Peta Cocok Untuk Home Industri,Rp 2 Miliar,"Peta, Bandung",7,2,1,: 255 m²,: 350 m²
hos17260354,"Jual Cepat Rumah Tengah Kota Sayap Kebon Kawung, Bandung.","Rp 9,5 Miliar","Kebon Kawung, Bandung",5,2,4,: 672 m²,: 450 m²
hos18200499,Rumah Antapani Tengah Kota 2 Lantai Bagus Shm View Sawah,"Rp 2,5 Miliar","Antapani, Bandung",5,2,null,: 145 m²,: 200 m²
hos16741187,"Di jual rumah komplek ujungberung indah,bdg timur","Rp 2,6 Miliar","Ujungberung, Bandung",5,3,3,: 265 m²,: 250 m²
hos16434233,Dijual bangunan Ex produksi scincare,"Rp 3,5 Miliar","Ujungberung, Bandung",8,2,null,: 260 m²,: 300 m²
hos15979337,Dijual rumah komplek cherry field,"Rp 1,6 Miliar","Terusan Buah Batu, Bandung",4,2,null,: 110 m²,: 150 m²
hos18703052,Dijual Rumah Hitung Tanah Di Suryalaya Buah Batu,"Rp 2,75 Miliar","Buah Batu, Bandung",4,3,3,: 250 m²,: 200 m²
hos18775746,Rumah 2 Lantai Bagus Luas126 Di Cluster Batununggal Indah,Rp 2 Miliar,"Batununggal, Bandung",3,2,2,: 126 m²,: 200 m²
hos17682094,Rumah dekat terminal cicaheum,"Rp 1,45 Miliar","Mandalajati, Bandung",4,2,null,: 110 m²,: 200 m²
hos18413010,Rumah Hitung Tanah Di Cijagra Buah Batu Harga Menarik,"Rp 1,85 Miliar","Cijagra, Bandung",1,1,1,: 205 m²,: 39 m²
hos16271865,"Rumah 2 Lantai Bagus SHM di Batununggal, Bandung","Rp 5,2 Miliar","Batununggal, Bandung",3,3,null,: 240 m²,: 340 m²
hos16271796,"Rumah Bagus SHM di Tubagus Ismail, Bandung","Rp 3,5 Miliar","Tubagus Ismail, Bandung",3,2,2,: 300 m²,: 174 m²
hos16095687,"Dijual Cepat, Jual Rumah 2.5 Lantai Di Taman Hollis Indah","Rp 1,5 Miliar","Holis Cigondewah, Bandung",4,5,2,: 140 m²,: 272 m²
hos18736237,Rumah Bagus 2 Lantai di Arcamanik Bandung,Rp 875 Juta,"Arcamanik, Bandung",3,1,1,: 104 m²,: 115 m²
hos16440002,Di jual cepat rumah di mainroad Jamika,"Rp 10,2 Miliar","Sudirman, Bandung",2,2,2,: 600 m²,: 200 m²
hos17985699,Rumah Murah Modern Cantik Dan Bagus di Bandung Kota,"Rp 3,8 Miliar","Cikutra, Bandung",6,5,1,: 270 m²,: 520 m²
hos18342662,"Dijual Rumah Mewah, Harga Menarik Di Pusat Kota Harga Menarik","Rp 7,95 Miliar","Turangga, Bandung",7,6,3,: 380 m²,: 500 m²
hos18053154,"Dijual Rumah,hitung Tanah Saja,di Sayap Cipaganti","Rp 15,5 Miliar","Cipaganti, Bandung",5,4,4,: 663 m²,: 500 m²
hos18794761,"Rumah Di Mainroad Kiaracondong Buahbatu, Kota Bandung","Rp 9,75 Miliar","Bandung Kota, Bandung",7,6,8,: 753 m²,: 650 m²
hos18794746,Dijual Murah Rumah Komplek Batu Permata Margacinta Buahbatu,"Rp 1,6 Miliar","Margacinta, Bandung",5,2,1,: 232 m²,: 250 m²
hos13680839,Rumah Terawat Pasir Luyu Regol Bandung,"Rp 1,8 Miliar","Regol, Bandung",3,2,1,: 126 m²,: 100 m²
hos18794648,Dijual Rumah 3 Lantai Dago Resort Ada Kolam Renang View Garden City,Rp 4 Miliar,"Dago Pakar, Bandung",4,4,1,: 220 m²,: 300 m²
hos17877518,Dijual Rumah Baru Pasadena Bandung Minimalis,"Rp 1,7 Miliar","Babakanciparay, Bandung",3,2,null,: 160 m²,: 150 m²
hos17922306,Dijual Rumah Baru Minimalis Singgasana Pradana Bandung,"Rp 3,55 Miliar","Bojongloa Kidul, Bandung",4,3,2,: 140 m²,: 170 m²
hos18283897,"Rumah 2 Lantai Baru SHM di Padasuka, Bandung","Rp 1,4 Miliar","Padasuka, Bandung",4,3,1,: 151 m²,: 190 m²
hos18292939,"Rumah Baru Siap Isi 2 Lantai SHM Kopo Permai 1, Bandung","Rp 1,39 Miliar","Kopo Permai, Bandung",3,2,1,: 108 m²,: 170 m²
hos16141403,Dijual Rumah Area Arcamanik,Rp 3 Miliar,"Arcamanik, Bandung",3,3,null,: 300 m²,: 203 m²
hos18485021,Dijual Cluster Pesona Regensy Ujung Berung,Rp 750 Juta,"Ujungberung, Bandung",2,1,null,: 72 m²,: 48 m²
hos18684966,Rumah Bagus Nan Mewah Bukit Dago Bandung,"Rp 8,5 Miliar","Dago, Bandung",5,6,2,: 350 m²,: 500 m²
hos18639477,Jual Cepat Rumah Komolek Margawangi Ciwastra Buah Batu Banfing,Rp 850 Juta,"Ciwastra, Bandung",4,1,1,: 148 m²,: 100 m²
hos18725551,Dijual Rumah Sayap Cipaganti Belakang Rshs Lokasi Sangat Strategis,Rp 17 Miliar,"Cipaganti, Bandung",2,2,4,: 772 m²,: 400 m²
hos18786765,Rumah Murah Terawat 1 Lantai Pratista Antapani,Rp 950 Juta,"Antapani, Bandung",3,2,1,: 104 m²,: 90 m²
hos17326449,Hitung Tanah Rumah Terawat Turangga Buahbatu Bandung Kota,"Rp 2,65 Miliar","Turangga, Bandung",4,1,1,: 300 m²,: 200 m²
hos15708438,Gegerkalong Rumah Bagus 2 Lantai Murah Setia Budi Bandung,Rp 5 Miliar,"Geger Kalong, Bandung",4,3,4,: 518 m²,: 300 m²
hos13765328,Rumah Hitung Tanah 5 Jutaan Cigadung Raya Murah Cikutra Bandung,"Rp 1,5 Miliar","Cigadung, Bandung",3,2,2,: 317 m²,: 150 m²
hos18792977,Dijual Rumah Lokasi Sangat Strategis Di Setrasari Bandung,"Rp 5,5 Miliar","Setra Sari, Bandung",4,3,2,: 520 m²,: 250 m²
hos18460911,Rumah Awiligar Cigadung View City,"Rp 3,5 Miliar","Awiligar, Bandung",6,3,2,: 500 m²,: 150 m²
hos15461249,Rumah 2 Lantai di Batununggal Indah Estate SHM,"Rp 2,8 Miliar","Batununggal, Bandung",4,3,1,: 180 m²,: 270 m²
hos17089393,Rumah Pinggir Jalan Burangrang Talaga Bodas Bisa Untuk Usaha,Rp 7 Miliar,"Burangrang, Bandung",6,4,null,: 238 m²,: 199 m²
hos17974430,Rumah Terawat Sayap Burangrang Lokasi Bagus Bandung Kota,Rp 3 Miliar,"Burangrang, Bandung",3,3,1,: 213 m²,: 186 m²
hos18209886,Rumah 2 Lantai Bagus Shm Di Buah Batu Regency Bandung,"Rp 1,55 Miliar","Buah Batu, Bandung",4,3,1,: 135 m²,: 150 m²
hos17828184,Rumah Baru Harga Murah Turangga Buahbatu,"Rp 2,3 Miliar","Turangga, Bandung",4,4,null,: 130 m²,: 150 m²
hos18563139,Rumah Murah Terawat Lingkungan Asri Jl Golf Arcamanik,Rp 900 Juta,"Arcamanik, Bandung",4,2,1,: 144 m²,: 120 m²
hos18791336,Rumah Ruko Baru 2 Lantai Posisi Mainroad,"Rp 3,6 Miliar","Bandung Kulon, Bandung",3,3,2,: 166 m²,: 240 m²
hos18670179,"Dijual Rumah Di Taman Cibaduyut Indah,bandung","Rp 1,3 Miliar","Cibaduyut, Bandung",4,3,1,: 105 m²,: 130 m²
hos18489564,"Rumah Murah Hitung Tanah Antapani, Bandung","Rp 1,2 Miliar","Antapani, Bandung",4,2,null,: 162 m²,: 100 m²
hos18489485,Rumah Murah Lingkungan Asri Turangga Bandung,"Rp 2,65 Miliar","Turangga, Bandung",3,2,1,: 268 m²,: 150 m²
hos18025844,"Dijual Rumah di Kertasari, Purbasari, Arcamanik",Rp 2 Miliar,"Arcamanik, Bandung",6,2,1,: 200 m²,: 180 m²
hos18026373,Dijual Rumah Giri Mekar Permai Cijambe,Rp 650 Juta,"Ujungberung, Bandung",3,1,1,: 119 m²,: 100 m²
hos18250148,Dijual Rumah Terusan Sindang Barang Antapani,"Rp 3,5 Miliar","Antapani, Bandung",3,2,null,: 350 m²,: 300 m²
hos16765847,Rumah Mewah Asri di Cipaku Indah Bandung,"Rp 3,2 Miliar","Cipaku, Bandung",4,3,2,: 180 m²,: 330 m²
hos18695035,Dijual Rumah Minimalis Pharmindo Bandung,"Rp 1,5 Miliar","Cijerah, Bandung",3,2,null,: 150 m²,: 200 m²
hos18784926,Dijual Rumah Tinggal Lokasi Straegis Daerah Ciwastra Bandung,Rp 650 Juta,"Ciwastra, Bandung",4,2,null,: 89 m²,: 160 m²
hos18668016,Jarang Ada Rumah Mewah Pondok Hijau,"Rp 2,35 Miliar","Geger Kalong, Bandung",3,3,null,: 152 m²,: 170 m²
hos16682182,Rumah Mewah Luxury Murah di Setra Duta Harga Hitung Tanah,"Rp 12,5 Miliar","Setra Duta, Bandung",5,4,4,: 714 m²,: 847 m²
hos18633759,Rumah Minimalis Nyaman di Setra Glory Dekat Sutami Sukahaji,"Rp 2,5 Miliar","Sukahaji, Bandung",4,3,null,: 113 m²,: 145 m²
hos18679335,Rumah Hoki Cantik Dan Nyaman Dalam Cluster Singgasana Pradana,"Rp 3,5 Miliar","Singgasana, Bandung",3,2,null,: 200 m²,: 160 m²
hos18679344,Rumah Luas Nyaman Terawat di Singgasana Pradana,"Rp 4,9 Miliar","Singgasana, Bandung",3,2,1,: 270 m²,: 160 m²
hos18642672,Rumah Baru Modern Minimalis di Gegerkalong,"Rp 1,6 Miliar","Geger Kalong, Bandung",4,3,2,: 108 m²,: 120 m²
hos17816048,Rumah Hook Luas Nyaman Dalam Cluster di Batununggal,"Rp 5,5 Miliar","Batununggal, Bandung",4,3,1,: 374 m²,: 220 m²
hos18376275,Rumah Cantik Nyaman Terawat di Sukamulya Raya,"Rp 8,3 Miliar","Sukajadi, Bandung",4,3,2,: 705 m²,: 400 m²
hos18448003,Rumah Luas Nyaman Asri di Babakan Jeruk Ii Sukajadi,Rp 15 Miliar,"Sukajadi, Bandung",5,4,null,: 1070 m²,: 674 m²
hos17719505,Rumah Lelang Murah Strategis di Sayap Turangga Bandung,"Rp 2,11 Miliar","Turangga, Bandung",4,3,1,: 272 m²,: 250 m²
hos18362499,Rumah Bagus Nyaman Terawat Murah di Kembar Timur,"Rp 1,68 Miliar","Regol, Bandung",4,3,1,: 308 m²,: 245 m²
hos18202946,Rumah Minimalis Sederhana di Graha Cibaduyut,Rp 590 Juta,"Cibaduyut, Bandung",2,1,1,: 64 m²,: 36 m²
hos18780165,Dijual: Rmh Bagus Di Singgasana Pradana,"Rp 3,6 Miliar","Bojongloa Kidul, Bandung",3,4,1,: 187 m²,: 250 m²
hos18576573,Rumah Terawat Sukaluyu Bandung Dekat Sidomukti,Rp 6 Miliar,"Sukaluyu, Bandung",6,4,1,: 399 m²,: 300 m²
hos18526527,Dijual Murah & Cepat Dibawah Njop Suryalaya,"Rp 5,25 Miliar","Turangga, Bandung",5,3,2,: 779 m²,: 255 m²
hos18477943,Rumah Luas Bawah Njop Di Bukit Idaman  Setiabudi,"Rp 7,5 Miliar","Setiabudi, Bandung",5,3,4,: 500 m²,: 268 m²
hos18721597,Rumah Dijual Bu Di Komplek Mutiara Cibaduyut,"Rp 1,35 Miliar","Cibaduyut, Bandung",2,2,1,: 150 m²,: 100 m²
hos18589285,Rumah Murah Hitung Tanah Turangga Kota Bandung,"Rp 1,79 Miliar","Bandung Kota, Bandung",2,2,1,: 169 m²,: 100 m²
hos17193683,Setra Duta Harga Terjangkau Jual Cepat Di Bawah 2 Milyar,"Rp 1,8 Miliar","Setra Duta, Bandung",2,1,1,: 108 m²,: 70 m²
hos18699015,"843. Rumah Minimalis Terawat Di Pinus Regency, Soekarno Hatta","Rp 2,45 Miliar","Arcamanik, Bandung",4,4,2,: 278 m²,: 250 m²
hos14589202,Hott Jual Bu Hrga Di Bawah Appraisel Bank,"Rp 2,5 Miliar","Bandung Kidul, Bandung",4,4,1,: 187 m²,: 185 m²
hos10363113,Jual Bu Hrga Di Bawah Appraisel Bank Di Pusat Kota Bandung,"Rp 2,5 Miliar","Astanaanyar, Bandung",3,3,1,: 187 m²,: 185 m²
hos18763872,Rumah Dijual Mendesak Bawah Harga Pasar Di Komplek Dosen Ypkp Padasuka Cimenyan,Rp 775 Juta,"Padasuka, Bandung",3,3,1,: 130 m²,: 100 m²
hos16919953,Jual Cepat Rumah Luas di Kopo Permai 1 Bandung,Rp 900 Juta,"Kopo Permai, Bandung",3,3,1,: 172 m²,: 135 m²
hos17427400,Rumah Bagus Asri di Cipaku Bandung Utara,Rp 6 Miliar,"Cidadap, Bandung",4,3,2,: 510 m²,: 650 m²
hos13415832,Dijual Rumah Buah Batu Bandung Minimalis Modern Cocok Untuk Kaum Milenial,Rp 651 Juta,"Terusan Buah Batu, Bandung",2,2,2,: 60 m²,: 41 m²
hos18661524,Turun Harga! Jual Murah Di Cluster Padmagriya Podomoro Park Bandung,"Rp 1,2 Miliar","Terusan Buah Batu, Bandung",2,1,1,: 66 m²,: 36 m²
hos17255225,JUAL RUMAH 2 LANTAI MINIMALIS MODERN di KOMPLEK PRV GEGERKALONG BANDUNG,"Rp 3,8 Miliar","Geger Kalong, Bandung",5,4,1,: 332 m²,: 500 m²
hos17118212,"Rumah 2 Lantai, Terawat, Tengah Kota, Strategis di Sayap Riau","Rp 8,5 Miliar","Riau, Bandung",8,6,1,: 258 m²,: 220 m²
hos18772390,Rumah Murah Hitung Tanah Kawasan Sejuk di Setrasari,Rp 5 Miliar,"Sukasari, Bandung",4,3,3,: 415 m²,: 300 m²
hos18209188,DIJUAL RUMAH MEWAH DAN NYAMAN AREA BATUNUNGAL ABADI BANDUNG,"Rp 5,8 Miliar","Batununggal, Bandung",5,3,1,: 390 m²,: 274 m²
hos18209173,DIJUAL RUMAH LOKASI STRATEGIS DI TENGAH KOTA BANDUNG,Rp 12 Miliar,"Sumurbandung, Bandung",2,1,null,: 409 m²,: 200 m²
hos18227253,Turun Harga Rumah Dekat Griya Margahayu Buahbatu Kota Bandung,Rp 950 Juta,"Buah Batu, Bandung",4,2,1,: 157 m²,: 120 m²
hos18686406,Rumah Murah Dalam Komplek Besar Antapani,"Rp 1,8 Miliar","Antapani, Bandung",6,3,2,: 200 m²,: 200 m²
hos18787472,Harga di Bawah Njop Pusat Kota Sayap Lengkong Besar Dalem Kaum,Rp 2 Miliar,"Lengkong, Bandung",3,2,1,: 262 m²,: 200 m²
hos17708272,Rumah Nyaman Terawat Murah di Mekar Wangi Bandung,"Rp 1,75 Miliar","Mekar Wangi, Bandung",2,2,2,: 120 m²,: 120 m²
hos17739171,Rumah Keren Mewah Strategis di Mekar Wangi,"Rp 8,8 Miliar","Mekar Wangi, Bandung",4,6,2,: 470 m²,: 600 m²
hos17893776,Dijual Rumah Nyaman Cluster D Grande Kopo Bandung,Rp 600 Juta,"Kopo, Bandung",2,1,1,: 97 m²,: 45 m²
hos18732306,Dijual Cepat Rumah Luas 324 M2 Di Jalan Sunda Bandung Jawa Barat 030,"Rp 10,5 Miliar","Lengkong, Bandung",6,2,4,: 324 m²,: 228 m²
hos18594795,Dijual Rumah Kembar Timur Kota Bandung,"Rp 2,5 Miliar","Moch Toha, Bandung",5,6,null,: 200 m²,: 320 m²
hos18784308,Dijual Rumah Baru Disayap Gegerkalong Bangunan Minimalis Modern,"Rp 1,59 Miliar","Geger Kalong, Bandung",4,3,2,: 108 m²,: 120 m²
hos16560506,Rumah Dijual Kokoh,Rp 8 Miliar,"Batununggal, Bandung",6,6,2,: 434 m²,: 418 m²
hos17669837,"Rumah 2 Lantai Bagus Unfurnished SHM di Batununggal, Bandung","Rp 5,9 Miliar","Batununggal, Bandung",4,4,2,: 334 m²,: 450 m²
hos18274464,"Rumah 2 Lantai Bagus Unfurnishd SHM di Batununggal Indah, Bandung","Rp 7,5 Miliar","Batununggal, Bandung",4,3,2,: 300 m²,: 247 m²
hos17693743,Rumah di Sayap riau jln progo SHM cocok untuk cafe bandung,"Rp 19,5 Miliar","Riau, Bandung",1,1,3,: 507 m²,: 665 m²
